usuario_id,idade,genero,interesse,canal,plataforma,marca,modelo,versao_app,retencao_status,investimento,evento,data_evento
0001e65d-6221-489c-bbce-7180eb0ba458,35,Feminino,"['Esportes', 'Música']",email,iOS,Apple,iPhone SE,1,Inativo,4.63,visualizacao_tela:instalacao,2025-02-14 04:22:59+00
0001e65d-6221-489c-bbce-7180eb0ba458,35,Feminino,"['Esportes', 'Música']",email,iOS,Apple,iPhone SE,1,Inativo,4.63,clique_botao:criar_conta,2025-02-14 04:23:59+00
0001e65d-6221-489c-bbce-7180eb0ba458,35,Feminino,"['Esportes', 'Música']",email,iOS,Apple,iPhone SE,1,Inativo,4.63,clique_botao:cadastro,2025-02-14 04:26:59+00
00696cf2-ee56-4975-8b21-f9aeb1e28f38,21,Masculino,"['Ebook', 'Música', 'Música']",sms,Android,LG,Wing,1.1,Ativo,0.43,visualizacao_tela:instalacao,2025-01-18 22:18:00+00
00696cf2-ee56-4975-8b21-f9aeb1e28f38,21,Masculino,"['Ebook', 'Música', 'Música']",sms,Android,LG,Wing,1.1,Ativo,0.43,clique_botao:criar_conta,2025-01-18 22:20:00+00
00696cf2-ee56-4975-8b21-f9aeb1e28f38,21,Masculino,"['Ebook', 'Música', 'Música']",sms,Android,LG,Wing,1.1,Ativo,0.43,clique_botao:cadastro,2025-01-18 22:25:00+00
00acae25-1a99-41ed-8def-326cc6c76306,30,Outro,"['Ebook', 'Filmes']",sms,iOS,Apple,iPhone SE,2,Ativo,1.83,visualizacao_tela:instalacao,2025-03-22 12:11:33+00
00acae25-1a99-41ed-8def-326cc6c76306,30,Outro,"['Ebook', 'Filmes']",sms,iOS,Apple,iPhone SE,2,Ativo,1.83,clique_botao:criar_conta,2025-03-22 12:16:33+00
00acae25-1a99-41ed-8def-326cc6c76306,30,Outro,"['Ebook', 'Filmes']",sms,iOS,Apple,iPhone SE,2,Ativo,1.83,clique_botao:cadastro,2025-03-22 12:19:33+00
00acae25-1a99-41ed-8def-326cc6c76306,30,Outro,"['Ebook', 'Filmes']",sms,iOS,Apple,iPhone SE,2,Ativo,1.83,clique_botao:pin_cadastro,2025-03-22 12:20:33+00
00acae25-1a99-41ed-8def-326cc6c76306,30,Outro,"['Ebook', 'Filmes']",sms,iOS,Apple,iPhone SE,2,Ativo,1.83,visualizacao_tela:inicio,2025-03-22 12:25:33+00
