usuario_id,evento,data_hora,canal,plataforma,marca,modelo,versao_app
0001e65d-6221-489c-bbce-7180eb0ba458,visualizacao_tela:instalacao,2025-02-14 04:22:59+00,email,iOS,Apple,iPhone SE,1
0001e65d-6221-489c-bbce-7180eb0ba458,clique_botao:criar_conta,2025-02-14 04:23:59+00,email,iOS,Apple,iPhone SE,1
0001e65d-6221-489c-bbce-7180eb0ba458,clique_botao:cadastro,2025-02-14 04:26:59+00,email,iOS,Apple,iPhone SE,1
00696cf2-ee56-4975-8b21-f9aeb1e28f38,visualizacao_tela:instalacao,2025-01-18 22:18:00+00,sms,Android,LG,Wing,1.1
00696cf2-ee56-4975-8b21-f9aeb1e28f38,clique_botao:criar_conta,2025-01-18 22:20:00+00,sms,Android,LG,Wing,1.1
00696cf2-ee56-4975-8b21-f9aeb1e28f38,clique_botao:cadastro,2025-01-18 22:25:00+00,sms,Android,LG,Wing,1.1
00acae25-1a99-41ed-8def-326cc6c76306,visualizacao_tela:instalacao,2025-03-22 12:11:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:criar_conta,2025-03-22 12:16:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:cadastro,2025-03-22 12:19:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:pin_cadastro,2025-03-22 12:20:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,visualizacao_tela:inicio,2025-03-22 12:25:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:audiobook,2025-03-22 12:47:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:ouvir_audiobook,2025-03-22 13:05:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:audiobook,2025-03-22 14:01:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:ouvir_audiobook,2025-03-22 14:25:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:minibook,2025-03-22 14:43:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:ler_minibook,2025-03-22 14:57:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:audiobook,2025-03-22 15:24:33+00,sms,iOS,Apple,iPhone SE,2
00acae25-1a99-41ed-8def-326cc6c76306,clique_botao:minibook,2025-03-22 15:51:33+00,sms,iOS,Apple,iPhone SE,2
00e6d374-5351-446e-bccc-bfd73fac9eb7,visualizacao_tela:instalacao,2025-01-01 13:28:25+00,email,Android,Motorola,Moto Edge,1
00e6d374-5351-446e-bccc-bfd73fac9eb7,clique_botao:criar_conta,2025-01-01 13:33:25+00,email,Android,Motorola,Moto Edge,1
00e6d374-5351-446e-bccc-bfd73fac9eb7,clique_botao:cadastro,2025-01-01 13:35:25+00,email,Android,Motorola,Moto Edge,1
00e6d374-5351-446e-bccc-bfd73fac9eb7,clique_botao:pin_cadastro,2025-01-01 13:40:25+00,email,Android,Motorola,Moto Edge,1
00fc1b38-a695-434a-944c-68e7776ed3ae,visualizacao_tela:instalacao,2025-02-23 19:21:45+00,email,iOS,Apple,iPhone 13,1
00fc1b38-a695-434a-944c-68e7776ed3ae,clique_botao:criar_conta,2025-02-23 19:26:45+00,email,iOS,Apple,iPhone 13,1
00fc1b38-a695-434a-944c-68e7776ed3ae,clique_botao:cadastro,2025-02-23 19:27:45+00,email,iOS,Apple,iPhone 13,1
00fc1b38-a695-434a-944c-68e7776ed3ae,clique_botao:pin_cadastro,2025-02-23 19:32:45+00,email,iOS,Apple,iPhone 13,1
01394037-c58c-4afb-a570-6e83f5ddfb7f,visualizacao_tela:instalacao,2025-03-22 15:04:43+00,email,Android,Motorola,Moto G Stylus,2
014811dd-26cd-4cc3-b415-6bff047c53d8,visualizacao_tela:instalacao,2025-02-27 06:18:47+00,sms,Android,Xiaomi,Redmi Note 10,1.1
